industry_name,stock_name
energ,akr
energ,bafs
energ,banpu
energ,bbgi
energ,bcp
energ,bcpg
energ,bgrim
energ,biotec
energ,bpp
energ,brrgif
energ,bsrc
energ,ckp
energ,cv
energ,demco
energ,ea
energ,eastw
energ,egatif
energ,egco
energ,ep
energ,etc
energ,gpsc
energ,green
energ,gulf
energ,gunkul
energ,ifec
energ,irpc
energ,jr
energ,kbspif
energ,lanna
energ,mdx
energ,nova
energ,or
energ,pcc
energ,prime
energ,ptg
energ,ptt
energ,pttep
energ,qtc
energ,ratch
energ,rpc
energ,scg
energ,sci
energ,scn
energ,seaoil
energ,sgp
energ,ske
energ,solar
energ,spcg
energ,sprc
energ,ssp
energ,super
energ,supereif
energ,susco
energ,tae
energ,tcc
energ,tge
energ,top
energ,tpipp
energ,tse
energ,ttw
energ,ube
energ,whaup
energ,wp
comm,advice
comm,b52
comm,beauty
comm,big
comm,bjc
comm,com7
comm,cpall
comm,cpaxt
comm,cpw
comm,crc
comm,css
comm,dohome
comm,fn
comm,fte
comm,global
comm,hmpro
comm,icc
comm,ilm
comm,it
comm,kamart
comm,loxley
comm,mc
comm,mega
comm,mida
comm,moshi
comm,rs
comm,rsp
comm,sabuy
comm,scm
comm,singer
comm,spc
comm,spi
comm,svt
comm,tan
helth,ahc
helth,bch
helth,bdms
helth,bh
helth,chg
helth,cmr
helth,ekh
helth,kdh
helth,lph
helth,m-chai
helth,new
helth,ntv
helth,phg
helth,pr9
helth,princ
helth,ram
helth,rjh
helth,rph
helth,safe
helth,skr
helth,thg
helth,vibha
helth,vih
helth,wph
media,amarin
media,aqua
media,as
media,bec
media,fe
media,gpi
media,grammy
media,jkn
media,major
media,match
media,mati
media,mcot
media,mono
media,nation
media,onee
media,planb
media,post
media,prakit
media,ptech
media,roctec
media,se-ed
media,tks
media,vgi
media,work
media,zaa
prof,bwg
prof,genco
prof,pro
prof,prtr
prof,sisb
prof,so
prof,wave
tourism,asia
tourism,beyond
tourism,centel
tourism,csr
tourism,dusit
tourism,erw
tourism,grand
tourism,lrh
tourism,manrin
tourism,mint
tourism,ohtl
tourism,roh
tourism,shang
tourism,shr
tourism,vranda
trans,aav
trans,ani
trans,aot
trans,asimar
trans,b
trans,ba
trans,bem
trans,bts
trans,btsgif
trans,dmt
trans,etl
trans,iii
trans,kex
trans,kiat
trans,kwc
trans,mena
trans,nok
trans,nyt
trans,port
trans,prm
trans,psl
trans,rcl
trans,sav
trans,sino
trans,sjwd
trans,tffif
trans,thai
trans,tste
trans,tta
trans,wice
etron,ccet
etron,delta
etron,hana
etron,kce
etron,metco
etron,smt
etron,svi
etron,team
ict,3bbif
ict,advanc
ict,ait
ict,alt
ict,amr
ict,bliss
ict,dif
ict,ditto
ict,dtcent
ict,forth
ict,gable
ict,human
ict,icn
ict,ilink
ict,inet
ict,inset
ict,intuch
ict,itel
ict,jas
ict,jmart
ict,jts
ict,mfec
ict,msc
ict,pt
ict,samart
ict,samtel
ict,sdc
ict,sis
ict,sky
ict,svoa
ict,symc
ict,synex
ict,thcom
ict,tkc
ict,true
ict,twz
